2026-05-03 23:28:23 | QueryProcessingActor-2 | INFO | query_actor.py:198 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-2] Recreated embedding function: HuggingFaceEmbeddings
2026-05-03 23:28:23 | QueryProcessingActor-2 | INFO | query_actor.py:211 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-2] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 23:28:23 | QueryProcessingActor-2 | INFO | query_actor.py:215 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-2] Deserializing FAISS index for this actor...
2026-05-03 23:28:23 | QueryProcessingActor-2 | INFO | query_actor.py:230 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-2] Created independent FAISS vector store for this actor
2026-05-03 23:28:23 | QueryProcessingActor-2 | INFO | query_actor.py:260 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-2] Recreated retriever with search_type=similarity
2026-05-03 23:28:23 | QueryProcessingActor-2 | INFO | query_actor.py:277 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-2] Recreated RAG spec with retrieval mode
2026-05-03 23:28:23 | Controller | INFO | controller.py:1299 | [project1-rapidfire-rag-contexteng:Controller] Pipeline 3 completed shard 0 (1 batches, 5.67s)
2026-05-03 23:28:23 | Controller | INFO | controller.py:1422 | [project1-rapidfire-rag-contexteng:Controller] Scheduling pipeline 6 (Pipeline 6) on actor 0 for shard 0 (1 batches)
2026-05-03 23:28:23 | QueryProcessingActor-0 | INFO | query_actor.py:169 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Reusing existing inference engine (config hash: 9924b857)
2026-05-03 23:28:24 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-05-03 23:28:25 | QueryProcessingActor-0 | INFO | query_actor.py:198 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Recreated embedding function: HuggingFaceEmbeddings
2026-05-03 23:28:25 | QueryProcessingActor-0 | INFO | query_actor.py:211 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 23:28:25 | QueryProcessingActor-0 | INFO | query_actor.py:215 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Deserializing FAISS index for this actor...
2026-05-03 23:28:25 | QueryProcessingActor-0 | INFO | query_actor.py:230 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Created independent FAISS vector store for this actor
2026-05-03 23:28:25 | QueryProcessingActor-0 | INFO | query_actor.py:260 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Recreated retriever with search_type=mmr
2026-05-03 23:28:25 | QueryProcessingActor-0 | INFO | query_actor.py:277 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-0] Recreated RAG spec with retrieval mode
2026-05-03 23:28:25 | Controller | INFO | controller.py:1422 | [project1-rapidfire-rag-contexteng:Controller] Scheduling pipeline 7 (Pipeline 7) on actor 3 for shard 0 (1 batches)
2026-05-03 23:28:25 | QueryProcessingActor-3 | INFO | query_actor.py:165 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-3] Initializing new inference engine (config hash: 9924b857)
2026-05-03 23:28:26 | sentence_transformers.base.model | INFO | model.py:973 | Loading SentenceTransformer model from BAAI/bge-small-en-v1.5.
2026-05-03 23:28:27 | QueryProcessingActor-3 | INFO | query_actor.py:198 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-3] Recreated embedding function: HuggingFaceEmbeddings
2026-05-03 23:28:27 | QueryProcessingActor-3 | INFO | query_actor.py:211 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-3] Using CPU-based FAISS for retrieval (avoids GPU memory conflicts)
2026-05-03 23:28:27 | QueryProcessingActor-3 | INFO | query_actor.py:215 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-3] Deserializing FAISS index for this actor...
2026-05-03 23:28:27 | QueryProcessingActor-3 | INFO | query_actor.py:230 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-3] Created independent FAISS vector store for this actor
2026-05-03 23:28:27 | QueryProcessingActor-3 | INFO | query_actor.py:260 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-3] Recreated retriever with search_type=similarity
2026-05-03 23:28:28 | sentence_transformers.base.model | INFO | model.py:962 | No modules.json found for cross-encoder/ms-marco-MiniLM-L6-v2, initializing a new CrossEncoder model.
2026-05-03 23:28:29 | QueryProcessingActor-3 | INFO | query_actor.py:277 | [project1-rapidfire-rag-contexteng:QueryProcessingActor-3] Recreated RAG spec with retrieval mode
2026-05-03 23:28:29 | Controller | INFO | controller.py:1299 | [project1-rapidfire-rag-contexteng:Controller] Pipeline 4 completed shard 0 (1 batches, 7.75s)
2026-05-03 23:28:29 | Controller | INFO | controller.py:1299 | [project1-rapidfire-rag-contexteng:Controller] Pipeline 5 completed shard 0 (1 batches, 5.77s)
2026-05-03 23:28:29 | Controller | INFO | controller.py:1299 | [project1-rapidfire-rag-contexteng:Controller] Pipeline 6 completed shard 0 (1 batches, 3.65s)
